Case,Date,SimpleDate,Year,Month,Day,Time,Hour,Minute,Street1,FullAddress,DisFm,Geo,Street2,P1,P1_icon,P1_marker,P2,P2_icon,P3,Primary,Inj,Fatal,HR,PP,Neighborhood,ViolationCode,ViolationTitle
90278803,"Thu., Jan. 01,2009",20090101,2009,1,1,6:45 PM,18,45,Bush,"Bush and Grant, San Francisco, CA",14,E,Grant,BICYCLE,bike1,small_green,,blank,,22350,1,0,NO,,Chinatown,22350,Basic Speed Law
90311356,"Tue., Jan. 06,2009",20090106,2009,1,6,1:00 AM,1,0,Eddy,"Eddy and Taylor, San Francisco, CA",0,X,Taylor,BICYCLE,bike1,small_green,,blank,,22350,1,0,NO,,Downtown,22350,Basic Speed Law
90307606,"Wed., Jan. 07,2009",20090107,2009,1,7,8:40 AM,8,40,Embarcadero,"Embarcadero and Washington, San Francisco, CA",261,S,Washington,BICYCLE,bike1,small_green,AUTO,car,,21453A,1,0,NO,,Financial District,21453A,Circular Red or Red Arrow
90649997,"Thu., Jan. 08,2009",20090108,2009,1,8,7:00 PM,19,0,Battery,"Battery and California, San Francisco, CA",70,S,California,BICYCLE,bike1,small_green,AUTO,car,,21650.1,1,0,NO,,Financial District,21650.1,Right Side of Roadway
91002778,"Tue., Jan. 13,2009",20090113,2009,1,13,5:14 PM,17,14,Washington,"Washington and Kearny, San Francisco, CA",218,W,Kearny,BICYCLE,bike1,small_green,AUTO,car,,21650.1,1,0,NO,,Chinatown,21650.1,Right Side of Roadway
90791758,"Thu., Jan. 15,2009",20090115,2009,1,15,5:00 PM,17,0,Pine,"Pine and Kearny, San Francisco, CA",19,W,Kearny,BICYCLE,bike1,small_green,AUTO,car,,21657,1,0,NO,,Chinatown,21657,Designated Traffic Direction
90973188,"Fri., Jan. 16,2009",20090116,2009,1,16,10:18 PM,22,18,Kearny,"Kearny and Pine, San Francisco, CA",0,X,Pine,BICYCLE,bike1,small_green,AUTO,car,,21658A,1,0,NO,,Chinatown,21658A,Laned Roadways
90695207,"Sat., Jan. 17,2009",20090117,2009,1,17,4:20 PM,16,20,Beach,"Beach and Stockton, San Francisco, CA",48,W,Stockton,BICYCLE,bike1,small_green,AUTO,car,,21750,1,0,NO,,North Beach,21750,Overtake and Pass to Left
91212347,"Mon., Jan. 19,2009",20090119,2009,1,19,12:00 PM,12,0,Taylor,"Taylor and Jefferson, San Francisco, CA",66,N,Jefferson,BICYCLE,bike1,small_green,AUTO,car,,21754,1,0,NO,,North Beach,21754,Passing on the Right
90557920,"Wed., Jan. 21,2009",20090121,2009,1,21,1:15 PM,13,15,Embarcadero,"Embarcadero and Washington, San Francisco, CA",0,X,Washington,BICYCLE,bike1,small_green,AUTO,car,,22350,1,0,NO,,Financial District,22350,Basic Speed Law
90505838,"Wed., Jan. 21,2009",20090121,2009,1,21,2:45 PM,14,45,California,"California and Leavenworth, San Francisco, CA",12,W,Leavenworth,BICYCLE,bike1,small_green,AUTO (PKD),car-parked,,22350,1,0,NO,,Nob Hill,22350,Basic Speed Law
90614473,"Wed., Jan. 21,2009",20090121,2009,1,21,3:21 PM,15,21,Columbus,"Columbus and Mason, San Francisco, CA",43,N,Mason,BICYCLE,bike1,small_green,AUTO (PKD),car-parked,,22350,1,0,NO,,Russian Hill,22350,Basic Speed Law
